Id,SalePrice
1461,125342.10860495038
1462,120748.53014803444
1463,173530.5055657626
1464,194461.8410115296
1465,178513.49345968515
1466,169578.30125025453
1467,186790.4293092092
1468,161387.0799268366
1469,194529.66513217532
1470,116169.271809069
1471,192770.36977270627
1472,104367.48474906836
1473,100038.14353911659
1474,149844.47584359988
1475,118917.30338490717
1476,330770.1353191271
1477,238902.1479015123
1478,273445.40962465986
1479,263212.2805780587
1480,507443.2387323791
1481,314948.42185239034
1482,194842.82952333006
1483,174040.0461939551
1484,158058.13663950693
1485,179150.74158354435
1486,193775.77968776366
1487,316529.9589771117
1488,244406.57561208852
1489,181208.1893984166
1490,226442.27593876753
1491,188849.34793530003
1492,95199.48984906242
1493,193605.42321985547
1494,288835.6216742495
1495,291692.32665655535
1496,210291.47596079577
1497,170208.4274774253
1498,147833.7101467509
1499,153123.15963255466
1500,144234.08378146356
1501,156067.53748339653
1502,143447.16740483989
1503,277865.1616710267
1504,234381.28888406657
1505,220135.3304197303
1506,199312.41881066508
1507,259454.0134171278
1508,198478.37886375494
1509,158292.98907255087
1510,139822.0906409629
1511,143379.50261027573
1512,178373.1807179788
1513,129944.58902724061
1514,163861.9949001509
1515,211386.26042023662
1516,154658.0239176501
1517,164652.29726968767
1518,133313.3884570645
1519,217961.10815636558
1520,124477.84342238514
1521,125174.04529658766
1522,178680.51459027786
1523,100996.44406863138
1524,117400.66977730847
1525,119678.80169328242
1526,107668.98520701806
1527,101617.6197584362
1528,148229.86103276256
1529,136345.92063104676
1530,206178.1415404102
1531,107473.05729620124
1532,104355.84022589805
1533,152095.01953515137
1534,124194.30788056087
1535,154691.63785801776
1536,108687.92416870543
1537,69934.12101253158
1538,163803.11791789386
1539,189534.1470149492
1540,98663.67035029909
1541,141122.87070310462
1542,139214.6355799435
1543,180804.68042168338
1544,90933.51567807051
1545,121142.96238072519
1546,127957.23985935515
1547,130320.15073594399
1548,133742.90817599115
1549,115840.1735802564
1550,120988.48554553183
1551,118513.9988152671
1552,124164.98273282005
1553,136160.48069175277
1554,120064.24008884061
1555,162196.9532586541
1556,86730.62917009846
1557,97332.4316353719
1558,98882.68006864605
1559,77663.31922561194
1560,125777.14773547149
1561,125620.02935985768
1562,128827.70117538668
1563,114723.91963423205
1564,164213.45300933323
1565,141132.99707570215
1566,252665.09208004526
1567,81653.09663082914
1568,214091.693242613
1569,115394.14894663123
1570,139269.22848153522
1571,112803.66922605428
1572,144939.83118267803
